window,label,is_chatter,A_time,segment_path
0,no_chatter,False,0.012842387619539545,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0000.npz"
1,no_chatter,False,0.047243881252051464,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0001.npz"
2,no_chatter,False,0.04570751446169784,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0002.npz"
3,no_chatter,False,0.04543139059506185,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0003.npz"
4,no_chatter,False,0.04468878313726981,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0004.npz"
5,no_chatter,False,0.04913237259349936,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0005.npz"
6,no_chatter,False,0.055806602161748375,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0006.npz"
7,no_chatter,False,0.04183585249265141,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0007.npz"
8,no_chatter,False,0.04200873474343854,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0008.npz"
9,no_chatter,False,0.045674186141299644,"..\data\01_windowed_labeled_2,5s\2p5inchStickout\F_12-Jun-2017_rpm570_doc0p010\F_12-Jun-2017_rpm570_doc0p010_window_0009.npz"
