dataset,method,sample_id,split,label,target,score_value
broach_dataset,one_class_svm_image_features,65qtta2q,validation,normal,0,-3.7487568023288116
broach_dataset,one_class_svm_image_features,trjumm0y,validation,normal,0,-2.238179099707798
broach_dataset,one_class_svm_image_features,dq08sg40,validation,normal,0,-3.5380916882398292
broach_dataset,one_class_svm_image_features,c8vwg5zg,validation,normal,0,-2.5893806609114502
broach_dataset,one_class_svm_image_features,zq48enwb,validation,normal,0,-3.067717474784457
broach_dataset,one_class_svm_image_features,f8smbfzp,validation,normal,0,-2.4072430299315837
broach_dataset,one_class_svm_image_features,sbdrti1w,validation,normal,0,-4.045214247406138
broach_dataset,one_class_svm_image_features,k6qzl0o9,validation,normal,0,-0.8411053072442289
broach_dataset,one_class_svm_image_features,rjzvz46u,validation,normal,0,-5.061345621764543
broach_dataset,one_class_svm_image_features,a4p3iwx7,validation,normal,0,-3.0376271463472957
broach_dataset,one_class_svm_image_features,q93bvmy7,validation,normal,0,-0.9001947715172793
broach_dataset,one_class_svm_image_features,cbtjg4pa,validation,normal,0,-2.070895700465366
broach_dataset,one_class_svm_image_features,z507rrmm,validation,normal,0,-3.1810691158423783
broach_dataset,one_class_svm_image_features,fgyhfibx,validation,normal,0,-3.146099644159941
broach_dataset,one_class_svm_image_features,0f3eheut,validation,normal,0,-0.04046775208009734
broach_dataset,one_class_svm_image_features,i2a2nktt,validation,normal,0,14.687675710115883
broach_dataset,one_class_svm_image_features,y28tkjwj,validation,normal,0,-1.1929968218757612
broach_dataset,one_class_svm_image_features,53dyjxm8,validation,normal,0,-1.048786895953553
broach_dataset,one_class_svm_image_features,yo9fi6wf,validation,normal,0,0.0007799918183639676
broach_dataset,one_class_svm_image_features,tlsynwec,validation,normal,0,-4.0582131878505034
broach_dataset,one_class_svm_image_features,pngw12xq,validation,normal,0,-2.6647769933010554
broach_dataset,one_class_svm_image_features,o87gyblv,validation,normal,0,-3.7522678631687807
broach_dataset,one_class_svm_image_features,9xxwnkpz,validation,normal,0,-3.37672605543281
broach_dataset,one_class_svm_image_features,ard0t83e,validation,normal,0,-4.38516087125897
broach_dataset,one_class_svm_image_features,5ojfh47c,validation,normal,0,-3.0152569829275233
broach_dataset,one_class_svm_image_features,u5hxokv3,validation,normal,0,-2.070389185047924
broach_dataset,one_class_svm_image_features,y2taynrb,validation,normal,0,-2.2464825751680113
broach_dataset,one_class_svm_image_features,9o2z4y6d,validation,normal,0,-3.7822565876383702
broach_dataset,one_class_svm_image_features,e0pwimya,validation,normal,0,-3.704450282981176
broach_dataset,one_class_svm_image_features,czep8r7h,validation,normal,0,2.387805621090614
broach_dataset,one_class_svm_image_features,9tbu32kg,validation,normal,0,-3.278543462871509
broach_dataset,one_class_svm_image_features,4dxs16xq,validation,normal,0,0.1083248379173618
broach_dataset,one_class_svm_image_features,p8arcgcj,validation,normal,0,-2.467679294352253
broach_dataset,one_class_svm_image_features,rezsowki,validation,normal,0,-2.336925467544992
broach_dataset,one_class_svm_image_features,jvfb86j6,validation,normal,0,7.103017993180526
broach_dataset,one_class_svm_image_features,sewk3vgd,validation,normal,0,-3.4422320003448537
broach_dataset,one_class_svm_image_features,msy3paua,validation,normal,0,-1.2641750938628729
broach_dataset,one_class_svm_image_features,jeis4hzg,validation,normal,0,-2.485292854574963
broach_dataset,one_class_svm_image_features,uujfupc6,validation,normal,0,-3.0694353199443736
broach_dataset,one_class_svm_image_features,etgzj0z1,validation,normal,0,-2.047135063937441
broach_dataset,one_class_svm_image_features,ph3sag46,validation,normal,0,13.835786025923541
broach_dataset,one_class_svm_image_features,rimqwf7i,validation,normal,0,0.5947598068235234
broach_dataset,one_class_svm_image_features,c1pox3is,validation,normal,0,-2.6846267502098673
broach_dataset,one_class_svm_image_features,hif96v00,validation,normal,0,-5.6364694935954045
broach_dataset,one_class_svm_image_features,ztwgbrt5,validation,normal,0,-0.3994403506590043
broach_dataset,one_class_svm_image_features,kyeitriy,validation,normal,0,-3.401350376768855
broach_dataset,one_class_svm_image_features,w05itjlp,validation,normal,0,-4.108772558408832
broach_dataset,one_class_svm_image_features,8vswskvz,validation,normal,0,13.968981662174798
broach_dataset,one_class_svm_image_features,0qf1klgp,validation,normal,0,-2.1634838375698404
broach_dataset,one_class_svm_image_features,s3m5ouro,validation,normal,0,-1.502785767003152
broach_dataset,one_class_svm_image_features,29hjkhf0,validation,normal,0,-0.7809011099280578
broach_dataset,one_class_svm_image_features,q6gxb3di,validation,normal,0,-2.8307226175721976
broach_dataset,one_class_svm_image_features,7bc0q2ju,validation,normal,0,-0.7918846130454273
broach_dataset,one_class_svm_image_features,8cqk4lta,validation,normal,0,-2.715034688653608
broach_dataset,one_class_svm_image_features,wobppm7o,validation,normal,0,2.5494818385578384
broach_dataset,one_class_svm_image_features,dr0bkn8y,validation,normal,0,-0.843101522869274
broach_dataset,one_class_svm_image_features,cpt3s7az,validation,normal,0,3.8053715939879087
broach_dataset,one_class_svm_image_features,326eezfw,validation,normal,0,-4.7843765400983305
broach_dataset,one_class_svm_image_features,8dalfyo1,validation,normal,0,5.559765004093784
broach_dataset,one_class_svm_image_features,r9tbb9qg,validation,normal,0,-3.386616032140699
broach_dataset,one_class_svm_image_features,96oy7gcd,validation,normal,0,-4.53325817256132
broach_dataset,one_class_svm_image_features,w6kh7crx,validation,normal,0,-1.159528631730458
