dataset,method,sample_id,split,label,target,score_value
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,validation,chatter,1,1.507437501886433
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,validation,chatter,1,1.507437501886433
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0003,validation,chatter,1,1.507437501886433
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0005,validation,no_chatter,0,0.9111391832103531
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0006,validation,chatter,1,1.2220136475326167
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,validation,chatter,1,0.7046397728558659
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0008,validation,chatter,1,1.3220388410928334
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0009,validation,chatter,1,0.5550246706678419
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0010,validation,chatter,1,0.2733111090585876
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,validation,chatter,1,0.2263308130978794
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0005,validation,no_chatter,0,-0.24813411983752354
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0006,validation,no_chatter,0,-0.2975564663829928
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0008,validation,no_chatter,0,-0.43465424566532795
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0011,validation,no_chatter,0,0.07742820417649421
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p010_window_0013,validation,no_chatter,0,-0.08389216037181613
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0001,validation,no_chatter,0,-0.06427918615804962
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0003,validation,no_chatter,0,-0.10732239432062451
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0013,validation,no_chatter,0,-0.3894401094769855
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p015_window_0014,validation,no_chatter,0,-0.4582694959947413
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0000,validation,no_chatter,0,-0.05680695647898437
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0003,validation,no_chatter,0,-0.07786472398076105
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0004,validation,no_chatter,0,-0.2018855763401053
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0006,validation,no_chatter,0,-0.26051583679087265
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0013,validation,no_chatter,0,-0.25167013088221935
turning,one_class_svm_image_features,2inchStickout_F_08-Jun-2017_rpm320_doc0p020_window_0014,validation,no_chatter,0,-0.23350939028030226
