bottleneck_dim,dataset,method,score,validation_f1_count,validation_f1_mean,validation_f1_std,validation_f1_min,validation_f1_max,validation_precision_count,validation_precision_mean,validation_precision_std,validation_precision_min,validation_precision_max,validation_recall_count,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,pr_auc_count,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_count,f1_mean,f1_std,f1_min,f1_max,precision_count,precision_mean,precision_std,precision_min,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_max,tn_count,tn_mean,tn_std,tn_min,tn_max,fp_count,fp_mean,fp_std,fp_min,fp_max,fn_count,fn_mean,fn_std,fn_min,fn_max,tp_count,tp_mean,tp_std,tp_min,tp_max,epochs_trained_count,epochs_trained_mean,epochs_trained_std,epochs_trained_min,epochs_trained_max,best_val_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,validation_f1_ci95,validation_precision_ci95,validation_recall_ci95,pr_auc_ci95,f1_ci95,precision_ci95,recall_ci95,tn_ci95,fp_ci95,fn_ci95,tp_ci95,epochs_trained_ci95,best_val_loss_ci95
16,turning,cnn_ae,global_mae,5,0.8513043478260871,0.11867853037840846,0.75,1.0,5,0.815128205128205,0.143040386843173,0.6666666666666666,1.0,5,0.895064935064935,0.09799129456276215,0.8,1.0,5,0.8568361852475679,0.14032946467758028,0.6785068827276619,1.0,5,0.8513043478260869,0.11867853037840849,0.75,1.0,5,0.815128205128205,0.143040386843173,0.6666666666666666,1.0,5,0.895064935064935,0.09799129456276215,0.8,1.0,5,115.4,5.458937625582473,108,121,5,2.6,2.4083189157584592,0,6,5,1.2,1.0954451150103321,0,2,5,11.0,2.7386127875258306,8,15,5,1798.2,286.23277240735376,1321,2000,5,0.0031808801228180527,0.0042537787183402915,0.0010606462601572275,0.01077988650649786,0.10402631846719089,0.1253804271756069,0.08589315677145234,0.12300419912796824,0.10402631846719092,0.1253804271756069,0.08589315677145234,4.784969801367612,2.1109846043967253,0.9601999791710056,2.400499947927514,250.8940871044991,0.0037286014431767225
16,turning,cnn_ae,global_mse,5,0.8464284924986188,0.11000603499934326,0.7200000000000001,0.967741935483871,5,0.7705325814536341,0.1491055484579248,0.6,0.9375,5,0.9475324675324674,0.048995647281381095,0.9,1.0,5,0.845894083460861,0.12898285342541627,0.7465873015873016,0.9924242424242424,5,0.8464284924986188,0.1100060349993433,0.72,0.967741935483871,5,0.7705325814536341,0.1491055484579248,0.6,0.9375,5,0.9475324675324674,0.048995647281381095,0.9,1.0,5,114.4,5.366563145999494,108,120,5,3.6,2.5099800796022267,1,6,5,0.6,0.5477225575051661,0,1,5,11.6,2.4083189157584592,9,15,5,1798.2,286.23277240735376,1321,2000,5,0.0031808801228180527,0.0042537787183402915,0.0010606462601572275,0.01077988650649786,0.09642454109995101,0.13069677573232905,0.042946578385726186,0.11305845585091996,0.09642454109995104,0.13069677573232905,0.042946578385726186,4.703999999999998,2.2000945434230776,0.4800999895855028,2.1109846043967253,250.8940871044991,0.0037286014431767225
16,turning,cnn_ae,ver_max,5,0.8064381007765198,0.15553158307673673,0.625,0.967741935483871,5,0.7083032708032708,0.22158154060748503,0.45454545454545453,0.9375,5,0.9818181818181818,0.0406557814090871,0.9090909090909091,1.0,5,0.7347249035310432,0.1891491983502439,0.5144505649149611,0.9924242424242424,5,0.8064381007765198,0.15553158307673667,0.625,0.967741935483871,5,0.7083032708032708,0.22158154060748503,0.45454545454545453,0.9375,5,0.9818181818181818,0.0406557814090871,0.9090909090909091,1.0,5,111.8,7.563068160475613,105,120,5,6.2,5.890670590009257,1,13,5,0.2,0.447213595499958,0,1,5,12.0,2.3452078799117144,10,15,5,1798.2,286.23277240735376,1321,2000,5,0.0031808801228180527,0.0042537787183402915,0.0010606462601572275,0.01077988650649786,0.13632944342383377,0.1942247838441269,0.03563636363636365,0.16579658243708867,0.1363294434238337,0.1942247838441269,0.03563636363636365,6.6293215339128,5.163400429949241,0.392,2.0556653424134965,250.8940871044991,0.0037286014431767225
16,turning,cnn_ae,ver_topk,5,0.8254531490015362,0.14869526459308471,0.6666666666666666,1.0,5,0.7497710622710623,0.2125046566440032,0.5,1.0,5,0.9493506493506494,0.07958188934988845,0.8181818181818182,1.0,5,0.7868294114283418,0.1453425237575425,0.669793523469994,1.0,5,0.825453149001536,0.14869526459308474,0.6666666666666666,1.0,5,0.7497710622710623,0.2125046566440032,0.5,1.0,5,0.9493506493506494,0.07958188934988845,0.8181818181818182,1.0,5,113.4,6.066300355241241,108,120,5,4.6,4.33589667773576,0,10,5,0.6,0.894427190999916,0,2,5,11.6,2.4083189157584592,9,15,5,1798.2,286.23277240735376,1321,2000,5,0.0031808801228180527,0.0042537787183402915,0.0010606462601572275,0.01077988650649786,0.13033714606848237,0.18626854425416745,0.0697566016307731,0.12739833915215132,0.1303371460684824,0.18626854425416745,0.0697566016307731,5.31734670677021,3.800581008214402,0.784,2.1109846043967253,250.8940871044991,0.0037286014431767225
32,turning,cnn_ae,global_mae,5,0.8465768728538958,0.10723995715294829,0.7500000000000001,0.967741935483871,5,0.8159615384615385,0.10872624469436343,0.6923076923076923,0.9375,5,0.8807792207792208,0.10943976379332981,0.7857142857142857,1.0,5,0.854742766061712,0.14761774551209333,0.6785068827276619,0.9958333333333333,5,0.8465768728538956,0.10723995715294833,0.75,0.967741935483871,5,0.8159615384615385,0.10872624469436343,0.6923076923076923,0.9375,5,0.8807792207792208,0.10943976379332981,0.7857142857142857,1.0,5,115.6,4.9799598391954945,108,120,5,2.4,1.51657508881031,1,4,5,1.4,1.3416407864998738,0,3,5,10.8,2.6832815729997477,8,15,5,1766.4,334.4230853275533,1278,2000,5,0.003910112427547574,0.004246228065682848,0.0010456882882863283,0.01077988650649786,0.09399996696647761,0.09530275543735,0.09592818250309504,0.12939265895091964,0.09399996696647764,0.09530275543735,0.09592818250309504,4.365127260458738,1.3293366766925523,1.176,2.352,293.13475879874767,0.003721983004311042
32,turning,cnn_ae,global_mse,5,0.8610893246187364,0.12854746850538692,0.7407407407407407,1.0,5,0.7905042016806723,0.1963672442799097,0.5882352941176471,1.0,5,0.9675324675324676,0.0449883326641267,0.9090909090909091,1.0,5,0.8563995047681401,0.13109371264885222,0.7588490012403057,1.0,5,0.8610893246187363,0.12854746850538692,0.7407407407407407,1.0,5,0.7905042016806723,0.1963672442799097,0.5882352941176471,1.0,5,0.9675324675324676,0.0449883326641267,0.9090909090909091,1.0,5,114.4,5.639148871948672,109,121,5,3.6,3.5071355833500366,0,7,5,0.4,0.5477225575051662,0,1,5,11.8,2.16794833886788,10,15,5,1766.4,334.4230853275533,1278,2000,5,0.003910112427547574,0.004246228065682848,0.0010456882882863283,0.01077988650649786,0.1126768241421149,0.17212347865156044,0.03943401225229371,0.11490870553901776,0.1126768241421149,0.17212347865156044,0.03943401225229371,4.942931923464046,3.074139879706192,0.48009998958550293,1.900290504107201,293.13475879874767,0.003721983004311042
32,turning,cnn_ae,ver_max,5,0.832655892167768,0.14477519894342197,0.6896551724137931,1.0,5,0.7556203007518797,0.20694712328282974,0.5263157894736842,1.0,5,0.9532467532467532,0.06660198132445762,0.8571428571428571,1.0,5,0.7554670257060491,0.1964529189953615,0.5487854251012145,1.0,5,0.8326558921677683,0.14477519894342195,0.6896551724137931,1.0,5,0.7556203007518797,0.20694712328282974,0.5263157894736842,1.0,5,0.9532467532467532,0.06660198132445762,0.8571428571428571,1.0,5,113.6,5.856620185738526,109,120,5,4.4,4.03732584763727,0,9,5,0.6,0.8944271909999159,0,2,5,11.6,2.073644135332772,10,15,5,1766.4,334.4230853275533,1278,2000,5,0.003910112427547574,0.004246228065682848,0.0010456882882863283,0.01077988650649786,0.12690105702707052,0.1813971514801072,0.05837921060964221,0.17219857585074008,0.1269010570270705,0.1813971514801072,0.05837921060964221,5.133553934653845,3.5388721367124862,0.7839999999999999,1.8176292251171577,293.13475879874767,0.003721983004311042
32,turning,cnn_ae,ver_topk,5,0.8393467064245053,0.1336872786614238,0.7142857142857143,1.0,5,0.7670726495726495,0.19192180538243958,0.5555555555555556,1.0,5,0.9493506493506494,0.07958188934988845,0.8181818181818182,1.0,5,0.8050842324996159,0.1769114673429839,0.6276129405264744,1.0,5,0.8393467064245053,0.13368727866142383,0.7142857142857143,1.0,5,0.7670726495726495,0.19192180538243958,0.5555555555555556,1.0,5,0.9493506493506494,0.07958188934988845,0.8181818181818182,1.0,5,114.0,5.522680508593632,109,120,5,4.0,3.5355339059327378,0,8,5,0.6,0.894427190999916,0,2,5,11.6,2.4083189157584592,9,15,5,1766.4,334.4230853275533,1278,2000,5,0.003910112427547574,0.004246228065682848,0.0010456882882863283,0.01077988650649786,0.11718206638304907,0.168226879654251,0.0697566016307731,0.15506973825543327,0.1171820663830491,0.168226879654251,0.0697566016307731,4.840842901809562,3.0990321069650113,0.784,2.1109846043967253,293.13475879874767,0.003721983004311042
64,turning,cnn_ae,global_mae,5,0.8425094260578131,0.09179734266304461,0.7500000000000001,0.967741935483871,5,0.8249225774225775,0.09937695518593194,0.6923076923076923,0.9375,5,0.8625974025974026,0.09061362001877012,0.7857142857142857,1.0,5,0.8426225252550692,0.14505096679681836,0.6785068827276619,0.9958333333333333,5,0.8425094260578131,0.09179734266304466,0.75,0.967741935483871,5,0.8249225774225775,0.09937695518593194,0.6923076923076923,0.9375,5,0.8625974025974026,0.09061362001877012,0.7857142857142857,1.0,5,115.8,4.919349550499539,108,120,5,2.2,1.3038404810405297,1,4,5,1.6,1.140175425099138,0,3,5,10.6,2.701851217221259,8,15,5,1861.2,306.46810600778673,1313,2000,5,0.004518503125291317,0.004014438927652063,0.0009743717382661998,0.01077988650649786,0.08046391855257645,0.08710774185953607,0.07942633990732785,0.12714277820822228,0.08046391855257651,0.08710774185953607,0.07942633990732785,4.312000000000001,1.1428665713896788,0.9994078246641859,2.368277010824536,268.63113904385693,0.003518810866830538
64,turning,cnn_ae,global_mse,5,0.8653723138430784,0.09125084972615247,0.7826086956521738,1.0,5,0.8105494505494505,0.12300233218512698,0.6923076923076923,1.0,5,0.9332467532467532,0.06401688510604887,0.8571428571428571,1.0,5,0.8554399712030163,0.11923058819342011,0.7619531983168346,1.0,5,0.8653723138430784,0.09125084972615245,0.782608695652174,1.0,5,0.8105494505494505,0.12300233218512698,0.6923076923076923,1.0,5,0.9332467532467532,0.06401688510604887,0.8571428571428571,1.0,5,115.4,5.594640292279744,107,121,5,2.6,1.6733200530681511,0,4,5,0.8,0.8366600265340756,0,2,5,11.4,2.3021728866442674,9,15,5,1861.2,306.46810600778673,1313,2000,5,0.004518503125291317,0.004014438927652063,0.0009743717382661998,0.01077988650649786,0.07998489637297963,0.10781629785352603,0.05611327386752829,0.10451021847752631,0.07998489637297962,0.10781629785352603,0.05611327386752829,4.9039184332531445,1.4667296956153848,0.7333648478076924,2.017943507633452,268.63113904385693,0.003518810866830538
