reference_dim,bottleneck_dim,dataset,method,score,validation_f1_delta_count,validation_f1_delta_mean,validation_f1_delta_std,validation_f1_delta_min,validation_f1_delta_max,validation_precision_delta_count,validation_precision_delta_mean,validation_precision_delta_std,validation_precision_delta_min,validation_precision_delta_max,validation_recall_delta_count,validation_recall_delta_mean,validation_recall_delta_std,validation_recall_delta_min,validation_recall_delta_max,pr_auc_delta_count,pr_auc_delta_mean,pr_auc_delta_std,pr_auc_delta_min,pr_auc_delta_max,f1_delta_count,f1_delta_mean,f1_delta_std,f1_delta_min,f1_delta_max,precision_delta_count,precision_delta_mean,precision_delta_std,precision_delta_min,precision_delta_max,recall_delta_count,recall_delta_mean,recall_delta_std,recall_delta_min,recall_delta_max,tn_delta_count,tn_delta_mean,tn_delta_std,tn_delta_min,tn_delta_max,fp_delta_count,fp_delta_mean,fp_delta_std,fp_delta_min,fp_delta_max,fn_delta_count,fn_delta_mean,fn_delta_std,fn_delta_min,fn_delta_max,tp_delta_count,tp_delta_mean,tp_delta_std,tp_delta_min,tp_delta_max,validation_f1_delta_ci95,validation_precision_delta_ci95,validation_recall_delta_ci95,pr_auc_delta_ci95,f1_delta_ci95,precision_delta_ci95,recall_delta_ci95,tn_delta_ci95,fp_delta_ci95,fn_delta_ci95,tp_delta_ci95
16,8,turning,cnn_ae,global_mae,5,0.02628549323885705,0.06502468411143902,-0.043142043142043174,0.09772727272727266,5,-0.05350596364060255,0.0869834982730926,-0.16279069767441856,0.0332080200501253,5,0.055214743066514284,0.11900638993425394,-0.07843137254901966,0.21276595744680848,5,-0.00776099062120128,0.03573668758056704,-0.06626984126984126,0.03163155483050151,5,0.30328659845901224,0.40533019505539347,0.0,0.8461538461538461,5,0.19787878787878788,0.40304682126095265,0.0,0.9166666666666666,5,0.3038095238095238,0.41642033534832323,0.0,0.7857142857142857,5,0.2,0.447213595499958,0,1,5,-0.2,0.447213595499958,-1,0,5,-4.4,6.024948132556827,-11,0,5,4.4,6.024948132556827,0,11,0.056996648644342236,0.07624439790327328,0.1043137000387367,0.031324587786561595,0.35528758083502665,0.35328611545824146,0.3650085174044268,0.392,0.392,5.281099885440532,5.281099885440532
16,8,turning,cnn_ae,global_mse,5,0.009853498826619433,0.07456083381641852,-0.07370360621216088,0.10441767068273089,5,0.00891824745354619,0.15191720035888132,-0.18181818181818177,0.20833333333333337,5,-0.016481326295550592,0.22425967083546494,-0.392156862745098,0.1914893617021276,5,0.02497757396437279,0.033771038063447556,0.0,0.08323770625993565,5,0.12468842886647569,0.569950727007118,-0.6363636363636364,0.7857142857142857,5,0.01593073593073595,0.4984074589405014,-0.5833333333333334,0.7857142857142857,5,0.16380952380952382,0.6146049373580913,-0.7,0.7857142857142857,5,-0.4,3.847076812334269,-5,5,5,0.4,3.847076812334269,-5,5,5,-3.0,7.842193570679061,-11,7,5,3.0,7.842193570679061,-7,11,0.06535545240605015,0.13316129728593432,0.19657226849113205,0.029601620017995822,0.49958383921002975,0.4368733998040874,0.5387249803419593,3.3721115046807095,3.3721115046807095,6.873985743366071,6.873985743366071
16,8,turning,cnn_ae,ver_max,5,0.022864585818803462,0.07435881505311467,-0.10049019607843146,0.08404019313584754,5,-0.054885433275343544,0.130833157761399,-0.13160767191641976,0.17253668763102725,5,0.09360650087972282,0.23934544851708642,-0.21568627450980393,0.3999999999999999,5,0.054484524500349865,0.06679084336824374,-0.007843137254901933,0.15772588007108135,5,0.11267631321706024,0.35499841807406673,-0.40151515151515155,0.42105263157894735,5,0.276360698125404,0.38890289728647215,-0.16428571428571426,0.8,5,0.14441558441558444,0.44808996639003557,-0.6,0.5454545454545455,5,0.2,4.324349662087931,-5,7,5,-0.2,4.324349662087931,-7,5,5,-2.2,5.019960159204453,-6,6,5,2.2,5.019960159204453,-6,6,0.06517837515255881,0.1146803191104534,0.20979553565183753,0.05854475549000614,0.31116983312965324,0.3408884194718347,0.39276817295441646,3.7904596027394883,3.7904596027394883,4.400189086846155,4.400189086846155
16,8,turning,cnn_ae,ver_topk,5,0.03903145785430413,0.06115231150995382,-0.04866562009419151,0.10031347962382431,5,-0.016509396111818297,0.10810613741021116,-0.12857142857142856,0.14546470478673867,5,0.022748435544430557,0.16118839723162434,-0.17647058823529405,0.19999999999999996,5,0.04672449871045627,0.047453785568685194,0.0,0.11677082177082176,5,0.06410138354040626,0.21662370898866445,-0.25000000000000006,0.3288043478260869,5,0.12086452762923353,0.2214232301363841,-0.036363636363636376,0.5,5,0.07160173160173162,0.3749254656286993,-0.49999999999999994,0.5333333333333333,5,0.8,3.5637059362410923,-2,7,5,-0.8,3.5637059362410923,-7,2,5,-1.4,4.6690470119715,-8,5,5,1.4,4.6690470119715,-5,8,0.05360236440285982,0.09475920743739276,0.14128785965050716,0.041595077005941214,0.1898790528240201,0.19408601859795366,0.3286366604354807,3.1237259802998083,3.1237259802998083,4.092600151492935,4.092600151492935
16,16,turning,cnn_ae,global_mae,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,turning,cnn_ae,global_mse,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,turning,cnn_ae,ver_max,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,turning,cnn_ae,ver_topk,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,32,turning,cnn_ae,global_mae,5,0.00803710987105839,0.050769196234210966,-0.05527915975677178,0.07933789954337889,5,-0.027830050732786306,0.17135531594318226,-0.22448979591836737,0.17142857142857137,5,0.020741579147847855,0.19462158308650693,-0.21999999999999997,0.25531914893617014,5,0.002770454232590991,0.014438354891238476,-0.009598852876404163,0.02761779070602577,5,0.24285132315822855,0.3500513271099101,-0.13903743315508021,0.6666666666666666,5,0.09617563595824465,0.34086667829467604,-0.29249011857707513,0.625,5,0.31922077922077924,0.3177075712981653,0.0,0.7142857142857143,5,-2.6,5.029910535983717,-10,3,5,2.6,5.029910535983717,-3,10,5,-4.4,4.722287581247038,-10,0,5,4.4,4.722287581247038,0,10,0.04450116258554704,0.15019955682392433,0.1705933391506607,0.012655776063869719,0.3068335167084554,0.29878281706112747,0.278482964744511,4.408910976647181,4.408910976647181,4.139267568060803,4.139267568060803
16,32,turning,cnn_ae,global_mse,5,-0.016946295494157004,0.06348113223752418,-0.12343266568962707,0.04166666666666674,5,-0.07348499432479358,0.1721685381754349,-0.33333333333333337,0.12841253791708795,5,0.04349306197964847,0.1906766494704099,-0.2391304347826087,0.276595744680851,5,0.036321765515773576,0.03330225080856657,0.0,0.08550421800421815,5,0.23324660338390318,0.36651962868760785,-0.1167048054919908,0.7222222222222222,5,0.06097982627394395,0.3196805421474694,-0.25925925925925924,0.5909090909090909,5,0.4002597402597403,0.3659186265020087,0.0,0.9285714285714286,5,-4.6,5.549774770204643,-12,0,5,4.6,5.549774770204643,0,12,5,-5.4,5.412947441089743,-13,0,5,5.4,5.412947441089743,0,13,0.055643665772928896,0.1509123775392397,0.16713545237559244,0.02919070987178726,0.32126861949472146,0.2802123499436854,0.3207418178520042,4.864592069228416,4.864592069228416,4.744657627268801,4.744657627268801
