dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp,bottleneck_dim,epochs_trained,best_val_loss,validation_f1_reference,validation_precision_reference,validation_recall_reference,pr_auc_reference,f1_reference,precision_reference,recall_reference,tn_reference,fp_reference,fn_reference,tp_reference,reference_dim,validation_f1_delta,validation_precision_delta,validation_recall_delta,pr_auc_delta,f1_delta,precision_delta,recall_delta,tn_delta,fp_delta,fn_delta,tp_delta
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.012904468923807144,0.6236559139784946,0.6170212765957447,0.6304347826086957,469,136,15,121,11,1.0,1.0,1.0,1.0,121,0,0,15,8,4000,0.005353987216949463,0.6741573033707865,0.6976744186046512,0.6521739130434783,0.9759432234432234,0.42105263157894735,1.0,0.26666666666666666,121,0,11,4,16,-0.05050138939229187,-0.0806531420089065,-0.021739130434782594,0.024056776556776627,0.5789473684210527,0.0,0.7333333333333334,0,0,-11,11
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.07645723968744278,0.5494505494505495,0.5555555555555556,0.5434782608695652,469,136,15,121,11,0.9958333333333333,0.9655172413793104,1.0,0.9333333333333333,121,0,1,14,8,4000,0.005353987216949463,0.5925925925925927,0.6857142857142857,0.5217391304347826,1.0,0.3333333333333333,1.0,0.2,121,0,12,3,16,-0.043142043142043174,-0.13015873015873014,0.021739130434782594,-0.004166666666666652,0.632183908045977,0.0,0.7333333333333334,0,0,-11,11
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.015642572194337845,0.6078431372549019,0.5535714285714286,0.6739130434782609,469,136,15,121,11,0.913506956006956,0.9375,0.8823529411764706,1.0,119,2,0,15,8,4000,0.005353987216949463,0.7083333333333334,0.68,0.7391304347826086,0.8412847337847338,0.72,0.9,0.6,120,1,6,9,16,-0.10049019607843146,-0.12642857142857145,-0.06521739130434778,0.07222222222222219,0.21750000000000003,-0.01764705882352946,0.4,-1,1,-6,6
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.014861669391393661,0.6326530612244897,0.5961538461538461,0.6739130434782609,469,136,15,121,11,0.9913888888888889,0.9375,0.8823529411764706,1.0,119,2,0,15,8,4000,0.005353987216949463,0.6813186813186812,0.6888888888888889,0.6739130434782609,0.8746180671180671,0.6086956521739131,0.875,0.4666666666666667,120,1,8,7,16,-0.04866562009419151,-0.09273504273504274,0.0,0.11677082177082176,0.3288043478260869,0.007352941176470562,0.5333333333333333,-1,1,-8,8
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02874644659459591,0.7710843373493975,0.9696969696969697,0.64,466,135,11,124,15,0.7269604133240497,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,8,4000,0.005880949553102255,0.6666666666666666,0.8709677419354839,0.54,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,16,0.10441767068273089,0.09872922776148585,0.09999999999999998,0.0,0.031620553359683834,0.06060606060606066,0.0,1,-1,0,0
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09602268040180206,0.7727272727272727,0.8947368421052632,0.68,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,8,4000,0.005880949553102255,0.675,0.9,0.54,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,16,0.09772727272727266,-0.0052631578947368585,0.14,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02992725558578968,0.7422680412371133,0.7659574468085106,0.72,466,135,11,124,15,0.7087110079204941,0.75,0.6923076923076923,0.8181818181818182,120,4,2,9,8,4000,0.005880949553102255,0.6582278481012658,0.896551724137931,0.52,0.7087110079204941,0.3333333333333333,0.42857142857142855,0.2727272727272727,120,4,8,3,16,0.08404019313584754,-0.13059427732942042,0.19999999999999996,0.0,0.4166666666666667,0.26373626373626374,0.5454545454545455,0,0,-6,6
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.026035258546471596,0.7578947368421052,0.8,0.72,466,135,11,124,15,0.7068994137175956,0.6923076923076923,0.6,0.8181818181818182,118,6,2,9,8,4000,0.005880949553102255,0.6666666666666666,0.9285714285714286,0.52,0.7068994137175956,0.6363636363636364,0.6363636363636364,0.6363636363636364,120,4,4,7,16,0.09122807017543855,-0.12857142857142856,0.19999999999999996,0.0,0.05594405594405594,-0.036363636363636376,0.18181818181818188,-2,2,-2,2
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.017848240211606026,0.6896551724137931,0.8333333333333334,0.5882352941176471,472,128,10,118,13,0.7677913752913752,0.0,0.0,0.0,118,0,10,0,8,1639,0.0016326054465025663,0.763358778625954,0.625,0.9803921568627451,0.7621027501909854,0.6363636363636364,0.5833333333333334,0.7,113,5,3,7,16,-0.07370360621216088,0.20833333333333337,-0.392156862745098,0.00568862510038981,-0.6363636363636364,-0.5833333333333334,-0.7,5,-5,7,-7
turning,cnn_ae,global_mae,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.056208159774541855,0.717948717948718,0.6363636363636364,0.8235294117647058,472,128,10,118,13,0.8016666666666667,0.8,0.8,0.8,116,2,2,8,8,1639,0.0016326054465025663,0.7479674796747967,0.6388888888888888,0.9019607843137255,0.867936507936508,0.7619047619047619,0.7272727272727273,0.8,115,3,2,8,16,-0.030018761726078758,-0.002525252525252486,-0.07843137254901966,-0.06626984126984126,0.03809523809523818,0.07272727272727275,0.0,1,-1,0,0
turning,cnn_ae,ver_max,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.01971101388335228,0.7307692307692308,0.7169811320754716,0.7450980392156863,472,128,10,118,13,0.7897160682454801,0.18181818181818182,1.0,0.1,118,0,9,1,8,1639,0.0016326054465025663,0.6950354609929078,0.5444444444444444,0.9607843137254902,0.6319901881743988,0.5833333333333334,0.5,0.7,111,7,3,7,16,0.03573376977632303,0.17253668763102725,-0.21568627450980393,0.15772588007108135,-0.40151515151515155,0.5,-0.6,7,-7,6,-6
turning,cnn_ae,ver_topk,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.01426297053694725,0.7454545454545455,0.6949152542372882,0.803921568627451,472,128,10,118,13,0.7980142080142081,0.3333333333333333,1.0,0.2,118,0,8,2,8,1639,0.0016326054465025663,0.7042253521126761,0.5494505494505495,0.9803921568627451,0.7288823216686994,0.5833333333333334,0.5,0.7,111,7,3,7,16,0.04122919334186936,0.14546470478673867,-0.17647058823529405,0.06913188634550871,-0.25000000000000006,0.5,-0.49999999999999994,7,-7,5,-5
turning,cnn_ae,global_mse,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.004110617097467184,0.5575757575757576,0.4,0.92,481,120,11,109,11,0.9924242424242424,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618,0.55,0.4,0.88,0.9805194805194806,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,0.007575757575757569,0.0,0.040000000000000036,0.011904761904761862,-0.1364764267990074,-0.18333333333333324,0.0,-5,5,0,0
turning,cnn_ae,global_mae,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.04627425596117973,0.5714285714285714,0.47368421052631576,0.72,481,120,11,109,11,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,8,1235,0.0011873564217239618,0.5522388059701493,0.44047619047619047,0.74,0.9924242424242424,0.8461538461538461,0.7333333333333333,1.0,105,4,0,11,16,0.019189765458422103,0.0332080200501253,-0.020000000000000018,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.006021828390657902,0.5614035087719298,0.39669421487603307,0.96,481,120,11,109,11,0.9679144385026738,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618,0.5436893203883495,0.5283018867924528,0.56,0.9757575757575757,0.8,0.7142857142857143,0.9090909090909091,105,4,1,10,16,0.017714188383580298,-0.13160767191641976,0.3999999999999999,-0.007843137254901933,-0.0903225806451613,-0.16428571428571426,0.09090909090909094,-5,5,-1,1
turning,cnn_ae,ver_topk,42,3,nested_grouped_reused_pairwise_inner_best_f1,0.00613534776493907,0.5512820512820512,0.4056603773584906,0.86,481,120,11,109,11,0.986013986013986,0.7096774193548387,0.55,1.0,100,9,0,11,8,1235,0.0011873564217239618,0.5402298850574713,0.3790322580645161,0.94,0.9757575757575757,0.7096774193548387,0.55,1.0,100,9,0,11,16,0.01105216622457994,0.02662811929397446,-0.07999999999999996,0.010256410256410331,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.009865573607385159,0.7912087912087913,0.8181818181818182,0.7659574468085106,472,132,14,118,13,0.7563252467387805,0.7857142857142857,0.7857142857142857,0.7857142857142857,115,3,3,11,8,3284,0.0029208450578153133,0.7297297297297298,1.0,0.574468085106383,0.6730875404788449,0.0,0.0,0.0,118,0,14,0,16,0.06147906147906146,-0.18181818181818177,0.1914893617021276,0.08323770625993565,0.7857142857142857,0.7857142857142857,0.7857142857142857,-3,3,-11,11
turning,cnn_ae,global_mae,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.061842069029808044,0.8,0.8372093023255814,0.7659574468085106,472,132,14,118,13,0.7615021017114613,0.8461538461538461,0.9166666666666666,0.7857142857142857,117,1,3,11,8,3284,0.0029208450578153133,0.7123287671232876,1.0,0.5531914893617021,0.7298705468809598,0.0,0.0,0.0,117,1,14,0,16,0.08767123287671241,-0.16279069767441856,0.21276595744680848,0.03163155483050151,0.8461538461538461,0.9166666666666666,0.7857142857142857,0,0,-11,11
turning,cnn_ae,ver_max,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.017815537750720978,0.8045977011494252,0.875,0.7446808510638298,472,132,14,118,13,0.6183590436084491,0.42105263157894735,0.8,0.2857142857142857,117,1,10,4,8,3284,0.0029208450578153133,0.7272727272727273,0.9333333333333333,0.5957446808510638,0.5680413861451014,0.0,0.0,0.0,117,1,14,0,16,0.0773249738766979,-0.05833333333333335,0.14893617021276595,0.05031765746334771,0.42105263157894735,0.8,0.2857142857142857,0,0,-4,4
turning,cnn_ae,ver_topk,42,4,nested_grouped_reused_pairwise_inner_best_f1,0.01521450374275446,0.8275862068965516,0.9,0.7659574468085106,472,132,14,118,13,0.6413978283621141,0.42105263157894735,0.8,0.2857142857142857,117,1,10,4,8,3284,0.0029208450578153133,0.7272727272727273,0.9333333333333333,0.5957446808510638,0.6039344531825735,0.23529411764705882,0.6666666666666666,0.14285714285714285,117,1,12,2,16,0.10031347962382431,-0.033333333333333326,0.17021276595744683,0.03746337517954057,0.18575851393188852,0.13333333333333341,0.14285714285714285,0,0,-2,2
turning,cnn_ae,global_mse,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.016414353623986244,0.6741573033707865,0.6976744186046512,0.6521739130434783,469,136,15,121,11,0.9759432234432234,0.42105263157894735,1.0,0.26666666666666666,121,0,11,4,16,2519,0.0016031087143346667,0.6741573033707865,0.6976744186046512,0.6521739130434783,0.9759432234432234,0.42105263157894735,1.0,0.26666666666666666,121,0,11,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mae,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.08842997252941132,0.5925925925925927,0.6857142857142857,0.5217391304347826,469,136,15,121,11,1.0,0.3333333333333333,1.0,0.2,121,0,12,3,16,2519,0.0016031087143346667,0.5925925925925927,0.6857142857142857,0.5217391304347826,1.0,0.3333333333333333,1.0,0.2,121,0,12,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.020134223625063896,0.7083333333333334,0.68,0.7391304347826086,469,136,15,121,11,0.8412847337847338,0.72,0.9,0.6,120,1,6,9,16,2519,0.0016031087143346667,0.7083333333333334,0.68,0.7391304347826086,0.8412847337847338,0.72,0.9,0.6,120,1,6,9,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_topk,42,0,nested_grouped_reused_pairwise_inner_best_f1,0.01892257295548916,0.6813186813186812,0.6888888888888889,0.6739130434782609,469,136,15,121,11,0.8746180671180671,0.6086956521739131,0.875,0.4666666666666667,120,1,8,7,16,2519,0.0016031087143346667,0.6813186813186812,0.6888888888888889,0.6739130434782609,0.8746180671180671,0.6086956521739131,0.875,0.4666666666666667,120,1,8,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.02092035859823227,0.6666666666666666,0.8709677419354839,0.54,466,135,11,124,15,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,16,4000,0.005880949553102255,0.6666666666666666,0.8709677419354839,0.54,0.7269604133240497,0.6956521739130435,0.6666666666666666,0.7272727272727273,120,4,3,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mae,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.09601562470197678,0.675,0.9,0.54,466,135,11,124,15,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,16,4000,0.005880949553102255,0.675,0.9,0.54,0.6867691744446549,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_max,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.04874550551176071,0.6582278481012658,0.896551724137931,0.52,466,135,11,124,15,0.7087110079204941,0.3333333333333333,0.42857142857142855,0.2727272727272727,120,4,8,3,16,4000,0.005880949553102255,0.6582278481012658,0.896551724137931,0.52,0.7087110079204941,0.3333333333333333,0.42857142857142855,0.2727272727272727,120,4,8,3,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,ver_topk,42,1,nested_grouped_reused_pairwise_inner_best_f1,0.03741753473877907,0.6666666666666666,0.9285714285714286,0.52,466,135,11,124,15,0.7068994137175956,0.6363636363636364,0.6363636363636364,0.6363636363636364,120,4,4,7,16,4000,0.005880949553102255,0.6666666666666666,0.9285714285714286,0.52,0.7068994137175956,0.6363636363636364,0.6363636363636364,0.6363636363636364,120,4,4,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
turning,cnn_ae,global_mse,42,2,nested_grouped_reused_pairwise_inner_best_f1,0.0040859803557395935,0.763358778625954,0.625,0.9803921568627451,472,128,10,118,13,0.7621027501909854,0.6363636363636364,0.5833333333333334,0.7,113,5,3,7,16,2049,0.001094294828362763,0.763358778625954,0.625,0.9803921568627451,0.7621027501909854,0.6363636363636364,0.5833333333333334,0.7,113,5,3,7,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
