bottleneck_dim,dataset,method,score,threshold,validation_f1,validation_precision,validation_recall,pr_auc,f1,precision,recall,tn,fp,fn,tp
8,turning,cnn_ae,global_mse,0.013715344481170177,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.989195989195989,0.9411764705882353,1.0,0.8888888888888888,48,0,3,24
8,turning,cnn_ae,global_mae,0.0690663754940033,0.9253731343283583,0.9393939393939394,0.9117647058823529,0.9771321972793392,0.9230769230769231,0.96,0.8888888888888888,47,1,3,24
8,turning,cnn_ae,ver_max,0.019945401698350906,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9924247839421076,0.9433962264150944,0.9615384615384616,0.9259259259259259,47,1,2,25
8,turning,cnn_ae,ver_topk,0.018030671402812004,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9925755248335892,0.9433962264150944,0.9615384615384616,0.9259259259259259,47,1,2,25
16,turning,cnn_ae,global_mse,0.0028020874597132206,0.9295774647887325,0.8918918918918919,0.9705882352941176,0.9807262671550241,0.9310344827586207,0.8709677419354839,1.0,44,4,0,27
16,turning,cnn_ae,global_mae,0.029730910435318947,0.9189189189189189,0.85,1.0,0.9986772486772486,0.9152542372881356,0.84375,1.0,43,5,0,27
16,turning,cnn_ae,ver_max,0.0031115636229515076,0.8607594936708861,0.7555555555555555,1.0,0.9467235554136197,0.8709677419354839,0.7714285714285715,1.0,40,8,0,27
16,turning,cnn_ae,ver_topk,0.0029565340373665094,0.8717948717948718,0.7727272727272727,1.0,0.9570574665874501,0.8709677419354839,0.7714285714285715,1.0,40,8,0,27
32,turning,cnn_ae,global_mse,0.003137016436085105,0.9428571428571428,0.9166666666666666,0.9705882352941176,0.98348503765573,0.9473684210526315,0.9,1.0,45,3,0,27
32,turning,cnn_ae,global_mae,0.034204885363578796,0.9295774647887325,0.8918918918918919,0.9705882352941176,0.9962962962962962,0.9811320754716981,1.0,0.9629629629629629,48,0,1,26
32,turning,cnn_ae,ver_max,0.004102097824215889,0.9041095890410958,0.8461538461538461,0.9705882352941176,0.955281952250788,0.8852459016393442,0.7941176470588235,1.0,41,7,0,27
32,turning,cnn_ae,ver_topk,0.003675941377878189,0.9166666666666667,0.868421052631579,0.9705882352941176,0.9674035560259113,0.9,0.8181818181818182,1.0,42,6,0,27
64,turning,cnn_ae,global_mse,0.013642124831676483,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.989195989195989,0.9411764705882353,1.0,0.8888888888888888,48,0,3,24
64,turning,cnn_ae,global_mae,0.06860831379890442,0.9253731343283583,0.9393939393939394,0.9117647058823529,0.9771321972793392,0.9230769230769231,0.96,0.8888888888888888,47,1,3,24
64,turning,cnn_ae,ver_max,0.020048489794135094,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.990943302460626,0.9433962264150944,0.9615384615384616,0.9259259259259259,47,1,2,25
64,turning,cnn_ae,ver_topk,0.01804676279425621,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9925755248335892,0.9433962264150944,0.9615384615384616,0.9259259259259259,47,1,2,25
128,turning,cnn_ae,global_mse,0.0018025778699666262,0.9315068493150686,0.8717948717948718,1.0,0.9807262671550241,0.9152542372881356,0.84375,1.0,43,5,0,27
128,turning,cnn_ae,global_mae,0.02705978788435459,0.9315068493150686,0.8717948717948718,1.0,0.9924648786717751,0.9310344827586207,0.8709677419354839,1.0,44,4,0,27
128,turning,cnn_ae,ver_max,0.0033089411444962025,0.8985507246376812,0.8857142857142857,0.9117647058823529,0.9547666146589169,0.9152542372881356,0.84375,1.0,43,5,0,27
128,turning,cnn_ae,ver_topk,0.0025098423939198256,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.9672239825130045,0.9152542372881356,0.84375,1.0,43,5,0,27
