dataset,method,score,bottleneck_dim,validation_f1_count,validation_f1_mean,validation_f1_std,validation_f1_min,validation_f1_max,validation_precision_count,validation_precision_mean,validation_precision_std,validation_precision_min,validation_precision_max,validation_recall_count,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,pr_auc_count,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_count,f1_mean,f1_std,f1_min,f1_max,precision_count,precision_mean,precision_std,precision_min,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_max,tn_count,tn_mean,tn_std,tn_min,tn_max,fp_count,fp_mean,fp_std,fp_min,fp_max,fn_count,fn_mean,fn_std,fn_min,fn_max,tp_count,tp_mean,tp_std,tp_min,tp_max,validation_f1_ci95,validation_precision_ci95,validation_recall_ci95,pr_auc_ci95,f1_ci95,precision_ci95,recall_ci95,tn_ci95,fp_ci95,fn_ci95,tp_ci95
turning,cnn_ae,global_mae,8,5,0.6823110223110224,0.11537185783541777,0.5494505494505495,0.8,5,0.6795099093752704,0.18081913070909805,0.47368421052631576,0.8947368421052632,5,0.7065930238885564,0.10570195759879793,0.5434782608695652,0.8235294117647058,5,0.8476391037160717,0.13994324591507828,0.6867691744446549,0.9958333333333333,5,0.837019532191946,0.08673715986126873,0.7272727272727273,0.9655172413793104,5,0.8354545454545456,0.11943584866672202,0.7272727272727273,1.0,5,0.8492640692640693,0.11306676457573957,0.7272727272727273,1.0,5,116.0,6.5574385243019995,105,121,5,2.0,1.5811388300841898,0,4,5,1.8,1.3038404810405297,0,3,5,10.4,2.5099800796022267,8,14,0.10112789218969086,0.1584949562160015,0.09265185091791935,0.12266566345636924,0.07602847276502472,0.10469013721511387,0.09910738886222897,5.747848293057149,1.3859292911256331,1.1428665713896788,2.2000945434230776
turning,cnn_ae,global_mse,8,5,0.6866359945052468,0.0983604889605318,0.5575757575757576,0.7912087912087913,5,0.7276466795615733,0.22223014504909355,0.4,0.9696969696969697,5,0.7089255047069707,0.13535391624348647,0.5882352941176471,0.92,5,0.8487002555556895,0.13550661922618332,0.7269604133240497,1.0,5,0.6445328864683704,0.3784182175371974,0.0,1.0,5,0.6125974025974026,0.3782838452355586,0.0,1.0,5,0.7025974025974027,0.41172108517998496,0.0,1.0,5,115.0,8.74642784226795,100,121,5,3.0,3.6742346141747673,0,9,5,3.2,4.08656334834051,0,10,5,9.0,5.612486080160912,0,15,0.08621676992941976,0.1947933107039293,0.1186429386345695,0.11877678870044292,0.33169819246829074,0.3315804099527938,0.3608894430191116,7.666582028518314,3.2206086381303765,3.582030708969425,4.919560956020364
turning,cnn_ae,ver_max,8,5,0.6893763238365203,0.10100937359165721,0.5614035087719298,0.8045977011494252,5,0.6616408444662888,0.18797762193280024,0.39669421487603307,0.875,5,0.7687383867515554,0.11077670313227278,0.6739130434782609,0.96,5,0.7996415028568106,0.14362391991298482,0.6183590436084491,0.9679144385026738,5,0.6000096465503936,0.298049316210308,0.18181818181818182,0.9375,5,0.7849321266968327,0.1730205450424229,0.55,1.0,5,0.6407792207792208,0.4207327214967964,0.1,1.0,5,114.8,8.34865258589672,100,120,5,3.2,3.5637059362410923,0,9,5,4.2,4.919349550499537,0,10,5,8.0,5.5677643628300215,1,15,0.0885386196805221,0.1647696504290747,0.09710006150261372,0.12589191646320452,0.2612517444238828,0.15165919448581736,0.36878849052512697,7.317916643417031,3.1237259802998083,4.311999999999999,4.880360642411583
turning,cnn_ae,ver_topk,8,5,0.7029741203399487,0.10989150094646756,0.5512820512820512,0.8275862068965516,5,0.679345895549925,0.1905995354215768,0.4056603773584906,0.9,5,0.7647584117828445,0.0722190193662174,0.6739130434782609,0.86,5,0.8247428649993586,0.1596841995355553,0.6413978283621141,0.9913888888888889,5,0.6187742153149622,0.24281011734891578,0.3333333333333333,0.9375,5,0.7664705882352941,0.18951312596623698,0.55,1.0,5,0.6607792207792208,0.38984235518878635,0.2,1.0,5,114.4,8.080841540334767,100,119,5,3.6,3.7815340802378077,0,9,5,4.0,4.69041575982343,0,10,5,8.2,5.263078946776306,2,15,0.0963241475761873,0.16706785893154968,0.06330276153592447,0.13996937223690364,0.21283245178261564,0.16611557905728266,0.3417118906306117,7.083169911840318,3.3146607669564014,4.111330684826994,4.613292100008409
turning,cnn_ae,global_mae,16,5,0.6560255290721653,0.08182119035635778,0.5522388059701493,0.7479674796747967,5,0.733015873015873,0.221269642003053,0.44047619047619047,1.0,5,0.6513782808220421,0.1654520148982,0.5217391304347826,0.9019607843137255,5,0.8554000943372729,0.1449447877391403,0.6867691744446549,1.0,5,0.5337329337329337,0.3578259722840488,0.0,0.8461538461538461,5,0.6375757575757576,0.3752048721051252,0.0,1.0,5,0.5454545454545455,0.42465348051369683,0.0,1.0,5,115.8,6.572670690061994,105,121,5,2.2,1.6431676725154984,0,4,5,6.2,6.340346993658944,0,14,5,6.0,4.415880433163924,0,11,0.07171943550561237,0.19395139266334072,0.14502508531205976,0.12704970816064634,0.3136482936716987,0.32888157101034043,0.37222518732971926,5.761199875026035,1.4402999687565088,5.557559176473068,3.870689860993774
turning,cnn_ae,global_mse,16,5,0.6767824956786275,0.0813662786484538,0.55,0.763358778625954,5,0.718728432108027,0.23081735542698026,0.4,1.0,5,0.7254068310025212,0.19457506428922228,0.54,0.9803921568627451,5,0.8237226815913168,0.1445745722454242,0.6730875404788449,0.9805194805194806,5,0.5198444576018947,0.3282380897227487,0.0,0.8461538461538461,5,0.5966666666666667,0.36825413929935824,0.0,1.0,5,0.5387878787878788,0.3995543890705344,0.0,1.0,5,115.4,6.58027355054484,105,121,5,2.6,2.4083189157584592,0,5,5,6.2,5.974947698515862,0,14,5,6.0,4.183300132670378,0,11,0.0713206878125799,0.20232033247161146,0.17055256362702037,0.12672519997261936,0.28771337111849854,0.32278898507986437,0.35022486367068467,5.767864076068366,2.1109846043967253,5.237272572627855,3.6668242390384624
turning,cnn_ae,ver_max,16,5,0.6665117380177168,0.07315824547996409,0.5436893203883495,0.7272727272727273,5,0.7165262777416324,0.190911765201427,0.5283018867924528,0.9333333333333333,5,0.6751318858718325,0.17980315992839196,0.52,0.9607843137254902,5,0.7451569783564608,0.16425753030754764,0.5680413861451014,0.9757575757575757,5,0.4873333333333333,0.3249307618555067,0.0,0.8,5,0.5085714285714286,0.33935713533992834,0.0,0.9,5,0.4963636363636363,0.3601881969055658,0.0,0.9090909090909091,5,114.6,6.50384501660364,105,120,5,3.4,2.5099800796022267,1,7,5,6.4,5.029910535983717,1,14,5,5.8,4.207136793592526,0,10,0.06412602952306404,0.16734154040038887,0.15760441856230703,0.1439780734048921,0.28481437042396573,0.29745964432171296,0.3157188748457784,5.700871512321603,2.2000945434230776,4.408910976647181,3.6877179935564484
turning,cnn_ae,ver_topk,16,5,0.6639426624856445,0.07288276496844241,0.5402298850574713,0.7272727272727273,5,0.6958552916617433,0.24104581233741146,0.3790322580645161,0.9333333333333333,5,0.7420099762384139,0.20696936487303827,0.52,0.9803921568627451,5,0.7780183662889023,0.14680749492085735,0.6039344531825735,0.9757575757575757,5,0.5546728317745561,0.18469059412743544,0.23529411764705882,0.7096774193548387,5,0.6456060606060606,0.1444750797490806,0.5,0.875,5,0.5891774891774892,0.31523564597043213,0.14285714285714285,1.0,5,113.6,8.44393273303382,100,120,5,4.4,3.5777087639996634,1,9,5,5.4,4.6690470119715,0,12,5,6.8,3.1937438845342623,2,11,0.06388456020817039,0.2112859702546189,0.1814166470934997,0.1286824429938009,0.16188844352331747,0.12663799095446981,0.27631622666181,7.401433374691688,3.1359999999999997,4.092600151492935,2.799439943988797
turning,cnn_ae,global_mae,32,5,0.6640626389432237,0.12315476904211797,0.5306122448979592,0.7916666666666665,5,0.7051858222830867,0.12352419999259444,0.5416666666666666,0.8571428571428571,5,0.6721198599698899,0.22582599027773093,0.391304347826087,0.9607843137254902,5,0.858170548569864,0.14728133498029228,0.6867691744446549,0.9958333333333333,5,0.7765842568911623,0.15213754481040967,0.5882352941176471,0.9565217391304348,5,0.7337513935340022,0.2276362766920761,0.43478260869565216,1.0,5,0.8646753246753247,0.10992415238756435,0.7142857142857143,1.0,5,113.2,4.868264577855234,108,121,5,4.8,5.167204273105526,0,13,5,1.8,1.6431676725154984,0,4,5,10.4,1.140175425099138,9,12,0.10794991464993327,0.10827373515549031,0.19794520801610746,0.12909778211847767,0.1333544377133906,0.19953199402074576,0.09635276782619474,4.267222047187138,4.5292542432502065,1.4402999687565088,0.9994078246641859
turning,cnn_ae,global_mse,32,5,0.6598362001844704,0.10855539112391227,0.5348837209302325,0.7575757575757576,5,0.6452434377832335,0.1693280793797164,0.3770491803278688,0.8260869565217391,5,0.7688998929821698,0.22849951389662543,0.41304347826086957,0.9803921568627451,5,0.8600444471070903,0.1370234717410713,0.7256548540161986,1.0,5,0.7530910609857978,0.12564443852036145,0.5789473684210527,0.9285714285714286,5,0.6576464929406105,0.2148314619496677,0.4074074074074074,1.0,5,0.9390476190476191,0.05979936219409752,0.8666666666666667,1.0,5,110.8,6.723094525588644,103,121,5,7.2,5.890670590009257,0,16,5,0.8,0.8366600265340756,0,2,5,11.4,1.6733200530681511,9,13,0.0951529956798409,0.14842260562907028,0.2002886547922168,0.12010636855181428,0.11013220616631794,0.18830807902904567,0.052416452039836144,5.893052180322179,5.163400429949241,0.7333648478076924,1.4667296956153848
