bottleneck_dim,split,label,score,n,mean,std,median,p90
8,test,chatter,global_mse,27,0.04352209344506264,0.022141525521874428,0.03663935512304306,0.06850637495517731
8,test,chatter,global_mae,27,0.1362254023551941,0.052205272018909454,0.12326707690954208,0.19492760300636292
8,test,chatter,ver_max,27,0.05352373421192169,0.02234400436282158,0.05589183792471886,0.0771922841668129
8,test,chatter,ver_topk,27,0.05134258046746254,0.021940546110272408,0.049705177545547485,0.07473018765449524
8,test,no_chatter,global_mse,48,0.004304563160985708,0.0030966594349592924,0.003000039141625166,0.00896403193473816
8,test,no_chatter,global_mae,48,0.039113182574510574,0.01240534707903862,0.03846993297338486,0.05675940215587616
8,test,no_chatter,ver_max,48,0.0059044249355793,0.00527039822191,0.003820507787168026,0.012808769941329956
8,test,no_chatter,ver_topk,48,0.005395544692873955,0.004547661170363426,0.0034865622874349356,0.012486888095736504
8,validation,chatter,global_mse,34,0.051050469279289246,0.03886846825480461,0.029643267393112183,0.10614180564880371
8,validation,chatter,global_mae,34,0.1437150090932846,0.08018144220113754,0.10610368847846985,0.2556023597717285
8,validation,chatter,ver_max,34,0.06522533297538757,0.042763009667396545,0.044013090431690216,0.12278666347265244
8,validation,chatter,ver_topk,34,0.062168970704078674,0.04243156313896179,0.03855861723423004,0.12004853039979935
8,validation,no_chatter,global_mse,70,0.004151031840592623,0.00356393214315176,0.002997347852215171,0.006959811318665743
8,validation,no_chatter,global_mae,70,0.037895407527685165,0.013049428351223469,0.03742524981498718,0.05065406858921051
8,validation,no_chatter,ver_max,70,0.005593853536993265,0.005639896262437105,0.0038895122706890106,0.01137804239988327
8,validation,no_chatter,ver_topk,70,0.005158802028745413,0.005067111924290657,0.0035788659006357193,0.010187098756432533
16,test,chatter,global_mse,27,0.008731292560696602,0.0043595037423074245,0.00835524033755064,0.014177707955241203
16,test,chatter,global_mae,27,0.06143484637141228,0.017908180132508278,0.060965921729803085,0.08507540822029114
16,test,chatter,ver_max,27,0.014905172400176525,0.009806625545024872,0.01184286642819643,0.02892436273396015
16,test,chatter,ver_topk,27,0.012689298950135708,0.008257117122411728,0.009654742665588856,0.022648759186267853
16,test,no_chatter,global_mse,48,0.0012561618350446224,0.0009872651426121593,0.001023489166982472,0.002356649609282613
16,test,no_chatter,global_mae,48,0.01797078736126423,0.00868010800331831,0.017462940886616707,0.029752349480986595
16,test,no_chatter,ver_max,48,0.0021212520077824593,0.002183387754485011,0.001558308256790042,0.004327061586081982
16,test,no_chatter,ver_topk,48,0.0018042093142867088,0.001802533632144332,0.0013125527184456587,0.0035919449292123318
16,validation,chatter,global_mse,34,0.010210969485342503,0.006914838682860136,0.007929661311209202,0.01975097693502903
16,validation,chatter,global_mae,34,0.06470159441232681,0.029027245938777924,0.057545289397239685,0.1040085181593895
16,validation,chatter,ver_max,34,0.016938799992203712,0.01153435930609703,0.015030067414045334,0.03062799572944641
16,validation,chatter,ver_topk,34,0.014277755282819271,0.00958930142223835,0.012712199240922928,0.02718839980661869
16,validation,no_chatter,global_mse,70,0.0012618982000276446,0.0012728115543723106,0.000997121213003993,0.002217794768512249
16,validation,no_chatter,global_mae,70,0.018025627359747887,0.009859520941972733,0.01774817705154419,0.028651174157857895
16,validation,no_chatter,ver_max,70,0.0020437377970665693,0.002420772099867463,0.0013656220398843288,0.004237990826368332
16,validation,no_chatter,ver_topk,70,0.0017129938350990415,0.0019040063489228487,0.0012152600102126598,0.0032591139897704124
32,test,chatter,global_mse,27,0.009689666330814362,0.004913881421089172,0.009346977807581425,0.014869773760437965
32,test,chatter,global_mae,27,0.06385735422372818,0.01941658742725849,0.06647617369890213,0.08680091053247452
32,test,chatter,ver_max,27,0.014806252904236317,0.009098283015191555,0.014234596863389015,0.021542241796851158
