split,label,score,n,mean,std,median,p90
test,chatter,global_mse,27,0.009689666330814362,0.004913881421089172,0.009346977807581425,0.014869773760437965
test,chatter,global_mae,27,0.06385735422372818,0.01941658742725849,0.06647617369890213,0.08680091053247452
test,chatter,ver_max,27,0.014806252904236317,0.009098283015191555,0.014234596863389015,0.021542241796851158
test,chatter,ver_topk,27,0.013082391582429409,0.00845232605934143,0.011691775172948837,0.01856941170990467
test,no_chatter,global_mse,48,0.0012150800321251154,0.0009818817488849163,0.000976099050603807,0.0024163066409528255
test,no_chatter,global_mae,48,0.017558373510837555,0.008603516034781933,0.017095627263188362,0.030121324583888054
test,no_chatter,ver_max,48,0.0021314742043614388,0.0022156492341309786,0.0014552976936101913,0.004577610641717911
test,no_chatter,ver_topk,48,0.0017924403073266149,0.001819682540372014,0.0012910885270684958,0.0038916117046028376
validation,chatter,global_mse,34,0.011082557961344719,0.007387781981378794,0.00917450338602066,0.020876839756965637
validation,chatter,global_mae,34,0.066830575466156,0.029995860531926155,0.0602794885635376,0.10580828040838242
validation,chatter,ver_max,34,0.016565104946494102,0.010427110828459263,0.01830396056175232,0.031002067029476166
validation,chatter,ver_topk,34,0.014625969342887402,0.009379428811371326,0.015126125887036324,0.02740487828850746
validation,no_chatter,global_mse,70,0.0012723348336294293,0.0014624560717493296,0.0009327475563623011,0.0024638017639517784
validation,no_chatter,global_mae,70,0.01779548078775406,0.010163923725485802,0.016957974061369896,0.028933048248291016
validation,no_chatter,ver_max,70,0.00204782304354012,0.0026664775796234608,0.001340073300525546,0.003938044421374798
validation,no_chatter,ver_topk,70,0.001730790245346725,0.0021346251014620066,0.0012256372720003128,0.0031910997349768877
