source_dataset,process,stickout,source_run,rpm,doc,window,sample_id,label,original_image_split,npz_path,image_path,split,target,global_mse,global_mae,ver_max,ver_topk
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,1,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0001.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0001_chatter.png,validation,1,0.027136846,0.121222615,0.039797746,0.038025167
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,2,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0002.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0002_chatter.png,validation,1,0.034517534,0.14096001,0.054383703,0.04914717
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm1030_doc0p001,1030.0,0p001,3,2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0003,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm1030_doc0p001/F_08-Jun-2017_rpm1030_doc0p001_window_0003.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm1030_doc0p001_window_0003_chatter.png,validation,1,0.038593285,0.1522413,0.055962652,0.05311512
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,5,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0005,no_chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0005.npz",data/02_spectrograms_150x100px_dataset/validation/no_chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0005_no_chatter.png,validation,0,0.005917052,0.038045764,0.009546157,0.008300579
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,6,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0006,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0006.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0006_chatter.png,validation,1,0.0042319447,0.036843408,0.0082314415,0.0063226297
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,7,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0007.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0007_chatter.png,validation,1,0.0036448934,0.035445005,0.0048449705,0.00427347
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,8,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0008,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0008.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0008_chatter.png,validation,1,0.0048914915,0.040575262,0.0073468704,0.006185863
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,9,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0009,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0009.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0009_chatter.png,validation,1,0.0039636963,0.034834884,0.007348592,0.0053140908
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,10,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0010,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0010.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0010_chatter.png,validation,1,0.0038982448,0.03299206,0.0065542045,0.0049938858
turning,turning,2inchStickout,2inchStickout/F_08-Jun-2017_rpm320_doc0p005,320.0,0p005,11,2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011,chatter,validation,"data/01_windowed_labeled_2,5s/2inchStickout/F_08-Jun-2017_rpm320_doc0p005/F_08-Jun-2017_rpm320_doc0p005_window_0011.npz",data/02_spectrograms_150x100px_dataset/validation/chatter/2inchStickout_F_08-Jun-2017_rpm320_doc0p005_window_0011_chatter.png,validation,1,0.0041882317,0.03492038,0.0061328835,0.0052653677
