dataset,method,score,threshold,pr_auc,f1,precision,recall,tn,fp,fn,tp
broach_dataset,cnn_ae,global_mse,0.0011022323742508888,0.5927198623646657,0.625,1.0,0.45454545454545453,2478,0,12,10
broach_dataset,cnn_ae,global_mae,0.013985994271934032,0.32417107347626317,0.42857142857142855,1.0,0.2727272727272727,2478,0,16,6
broach_dataset,cnn_ae,ver_max,0.003398982109501958,0.9919815033451396,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,ver_topk,0.0020558079704642296,0.8686925362165319,0.8108108108108109,1.0,0.6818181818181818,2478,0,7,15
broach_dataset,cnn_ae,maxpool_mse_3x3,0.0030270623974502087,0.7028588589297448,0.7058823529411765,1.0,0.5454545454545454,2478,0,10,12
broach_dataset,cnn_ae,maxpool_mse_5x5,0.005116794724017382,0.7690482008831346,0.7777777777777778,1.0,0.6363636363636364,2478,0,8,14
broach_dataset,cnn_ae,maxpool_mse_9x9,0.010107052512466908,0.9020936541373268,0.7777777777777778,1.0,0.6363636363636364,2478,0,8,14
broach_dataset,cnn_ae,maxpool_mse_15x15,0.016485905274748802,0.9051266679444849,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,maxpool_mse_25x25,0.028524721041321754,0.9102493050123179,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,maxpool_mse_35x35,0.04073825478553772,0.9054116161616159,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,maxpool_mse_51x51,0.06033642962574959,0.8894620841365904,0.8717948717948718,1.0,0.7727272727272727,2478,0,5,17
broach_dataset,cnn_ae,maxpool_mse_75x75,0.10425974428653717,0.8713916766356136,0.7428571428571429,1.0,0.5909090909090909,2478,0,9,13
broach_dataset,cnn_ae,maxpool_mse_101x101,0.12075731158256531,0.9568343681062266,0.8780487804878049,0.9473684210526315,0.8181818181818182,2477,1,4,18
