dataset,method,score,cv_seed,cv_fold,threshold_protocol,threshold,validation_f1,validation_precision,validation_recall,n_train_nominal,n_eval,n_eval_chatter,n_eval_no_chatter,n_eval_runs,pr_auc,f1,precision,recall,tn,fp,fn,tp
turning,one_class_svm_image_features,anomaly_score,42,0,fold_internal_best_f1,1.005508608632718,0.9333333333333333,0.9333333333333333,0.9333333333333333,469,136,15,121,11,0.9788888888888889,0.9333333333333333,0.9333333333333333,0.9333333333333333,120,1,1,14
turning,isolation_forest_image_features,anomaly_score,42,0,fold_internal_best_f1,0.08304541027578616,0.967741935483871,0.9375,1.0,469,136,15,121,11,0.9913888888888889,0.967741935483871,0.9375,1.0,120,1,0,15
turning,pca_image_reconstruction,reconstruction_mse,42,0,fold_internal_best_f1,0.002687414875254035,0.9375,0.8823529411764706,1.0,469,136,15,121,11,0.81917077475901,0.9375,0.8823529411764706,1.0,119,2,0,15
turning,one_class_svm_image_features,anomaly_score,42,1,fold_internal_best_f1,0.9609033843948734,0.7272727272727273,0.7272727272727273,0.7272727272727273,466,135,11,124,15,0.7556653341342336,0.7272727272727273,0.7272727272727273,0.7272727272727273,121,3,3,8
turning,isolation_forest_image_features,anomaly_score,42,1,fold_internal_best_f1,0.08973204034876325,0.7500000000000001,0.6923076923076923,0.8181818181818182,466,135,11,124,15,0.7237215024764432,0.75,0.6923076923076923,0.8181818181818182,120,4,2,9
turning,pca_image_reconstruction,reconstruction_mse,42,1,fold_internal_best_f1,0.0015841476852074265,0.6470588235294118,0.4782608695652174,1.0,466,135,11,124,15,0.6616290096423235,0.6470588235294118,0.4782608695652174,1.0,112,12,0,11
turning,one_class_svm_image_features,anomaly_score,42,2,fold_internal_best_f1,1.2222185742157003,0.8421052631578948,0.8888888888888888,0.8,472,128,10,118,13,0.8559920634920635,0.8421052631578947,0.8888888888888888,0.8,117,1,2,8
turning,isolation_forest_image_features,anomaly_score,42,2,fold_internal_best_f1,0.1679067873233514,0.888888888888889,1.0,0.8,472,128,10,118,13,0.9464285714285714,0.8888888888888888,1.0,0.8,118,0,2,8
turning,pca_image_reconstruction,reconstruction_mse,42,2,fold_internal_best_f1,0.0011817459017038345,0.625,0.45454545454545453,1.0,472,128,10,118,13,0.4599273898616004,0.625,0.45454545454545453,1.0,106,12,0,10
turning,one_class_svm_image_features,anomaly_score,42,3,fold_internal_best_f1,1.6992055415639717,1.0,1.0,1.0,481,120,11,109,11,1.0,1.0,1.0,1.0,109,0,0,11
turning,isolation_forest_image_features,anomaly_score,42,3,fold_internal_best_f1,0.2260287634536503,1.0,1.0,1.0,481,120,11,109,11,1.0,1.0,1.0,1.0,109,0,0,11
turning,pca_image_reconstruction,reconstruction_mse,42,3,fold_internal_best_f1,0.004458438605070114,0.8333333333333333,0.7692307692307693,0.9090909090909091,481,120,11,109,11,0.6538488027124392,0.8333333333333334,0.7692307692307693,0.9090909090909091,106,3,1,10
turning,one_class_svm_image_features,anomaly_score,42,4,fold_internal_best_f1,0.335281056191586,0.896551724137931,0.8666666666666667,0.9285714285714286,472,132,14,118,13,0.8430242376670947,0.896551724137931,0.8666666666666667,0.9285714285714286,116,2,1,13
turning,isolation_forest_image_features,anomaly_score,42,4,fold_internal_best_f1,0.043229591260155464,0.8484848484848484,0.7368421052631579,1.0,472,132,14,118,13,0.8232072334515943,0.8484848484848485,0.7368421052631579,1.0,113,5,0,14
turning,pca_image_reconstruction,reconstruction_mse,42,4,fold_internal_best_f1,0.0012188899563625455,0.7000000000000001,0.5384615384615384,1.0,472,132,14,118,13,0.5898596391077593,0.7,0.5384615384615384,1.0,106,12,0,14
