segments,top_k,threshold,pr_auc,f1
1,1,0.0011022323742508888,0.5927198623646657,0.625
1,3,0.0011022323742508888,0.5927198623646657,0.625
1,5,0.0011022323742508888,0.5927198623646657,0.625
1,10,0.0011022323742508888,0.5927198623646657,0.625
2,1,0.0014728052774444222,0.6694101004512658,0.7428571428571429
2,3,0.0014728052774444222,0.6694101004512658,0.7428571428571429
2,5,0.0014728052774444222,0.6694101004512658,0.7428571428571429
2,10,0.0014728052774444222,0.6694101004512658,0.7428571428571429
3,1,0.001712833996862173,0.9292039644423937,0.8421052631578947
3,3,0.001712833996862173,0.9292039644423937,0.8421052631578947
3,5,0.001712833996862173,0.9292039644423937,0.8421052631578947
3,10,0.001712833996862173,0.9292039644423937,0.8421052631578947
4,1,0.0019172278698533773,0.9440951141222037,0.9047619047619048
4,3,0.0019172278698533773,0.9440951141222037,0.9047619047619048
4,5,0.0019172278698533773,0.9440951141222037,0.9047619047619048
4,10,0.0019172278698533773,0.9440951141222037,0.9047619047619048
5,1,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,3,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,5,0.0028304895386099815,0.9494098000025566,0.6666666666666666
5,10,0.0028304895386099815,0.9494098000025566,0.6666666666666666
6,1,0.002628689631819725,0.9919815033451393,0.8717948717948718
6,3,0.002628689631819725,0.9919815033451393,0.8717948717948718
6,5,0.002628689631819725,0.9919815033451393,0.8717948717948718
6,10,0.002628689631819725,0.9919815033451393,0.8717948717948718
7,1,0.002221666043624282,0.9812380589154044,0.9361702127659575
7,3,0.002221666043624282,0.9812380589154044,0.9361702127659575
7,5,0.002221666043624282,0.9812380589154044,0.9361702127659575
7,10,0.002221666043624282,0.9812380589154044,0.9361702127659575
8,1,0.0032098181545734406,0.9608459020526594,0.7428571428571429
8,3,0.0032098181545734406,0.9608459020526594,0.7428571428571429
8,5,0.0032098181545734406,0.9608459020526594,0.7428571428571429
8,10,0.0032098181545734406,0.9608459020526594,0.7428571428571429
9,1,0.003398982109501958,0.9919815033451396,0.8717948717948718
9,3,0.003398982109501958,0.9919815033451396,0.8717948717948718
9,5,0.003398982109501958,0.9919815033451396,0.8717948717948718
9,10,0.003398982109501958,0.9919815033451396,0.8717948717948718
10,1,0.0035091035533696413,0.9731750761465394,0.9090909090909091
10,3,0.0035091035533696413,0.9731750761465394,0.9090909090909091
10,5,0.0035091035533696413,0.9731750761465394,0.9090909090909091
10,10,0.0035091035533696413,0.9731750761465394,0.9090909090909091
11,1,0.004156256560236216,0.8744409354519435,0.7058823529411765
11,3,0.004156256560236216,0.8744409354519435,0.7058823529411765
11,5,0.004156256560236216,0.8744409354519435,0.7058823529411765
11,10,0.004156256560236216,0.8744409354519435,0.7058823529411765
12,1,0.003847274463623762,0.9249521531100477,0.8717948717948718
12,3,0.003847274463623762,0.9249521531100477,0.8717948717948718
12,5,0.003847274463623762,0.9249521531100477,0.8717948717948718
12,10,0.003847274463623762,0.9249521531100477,0.8717948717948718
13,1,0.004294902086257935,0.9095451393517286,0.8421052631578947
13,3,0.004294902086257935,0.9095451393517286,0.8421052631578947
13,5,0.004294902086257935,0.9095451393517286,0.8421052631578947
13,10,0.004294902086257935,0.9095451393517286,0.8421052631578947
14,1,0.004956803284585476,0.8661525887056262,0.7428571428571429
14,3,0.004956803284585476,0.8661525887056262,0.7428571428571429
14,5,0.004956803284585476,0.8661525887056262,0.7428571428571429
14,10,0.004956803284585476,0.8661525887056262,0.7428571428571429
15,1,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,3,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,5,0.0045838868245482445,0.9661905965621841,0.926829268292683
15,10,0.0045838868245482445,0.9661905965621841,0.926829268292683
16,1,0.0049522449262440205,0.930594325725985,0.8108108108108109
16,3,0.0049522449262440205,0.930594325725985,0.8108108108108109
16,5,0.0049522449262440205,0.930594325725985,0.8108108108108109
